scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,167,1,0.6992458521870286,0.5619155354449472,0.02095954897864683,0.046432544931151745
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,608,4,0.8883878231445932,0.5634447122512573,0.048321625396445404,0.08836114035757124
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,1,25,127,1,0.8964704383282365,0.47782874617737003,0.01800125002481034,0.04190247827039352
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,2,25,155,1,0.8871496720333929,0.5108825283243889,0.019368066388545418,0.06575395934061906
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,3,25,159,1,0.9514388489208634,0.6066546762589928,0.007228313610400657,0.05932801425215813
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,4,25,167,1,0.8233597285067873,0.6361990950226244,0.00476525338976021,0.07724842347610858
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,608,4,0.8457156462319935,0.528270414691786,0.05191081988391944,0.10426507246781022
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),1,100,127,1,0.8814984709480123,0.5935270132517839,0.020457706601665425,0.13004002235332845
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),2,100,155,1,0.8773852116875372,0.4798747763864043,0.017229197002001314,0.10373552194950113
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),3,100,159,1,0.8652877697841727,0.47032374100719426,0.033794140928638076,0.07997040977705001
